epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33404,1.9453,3.61108,1.22333,0.17333,0.55319,0.28415,0.15072,1.70773,2.34748,1.08101,0,0,0
2,8.93906,1.91684,3.63574,1.18355,0.44947,0.30851,0.31083,0.16007,1.73277,2.02734,1.07594,1.9802e-05,1.9802e-05,1.9802e-05
3,13.0518,1.93015,3.30834,1.18053,0.47484,0.37234,0.34986,0.1765,1.76529,1.58397,1.0784,3.9208e-05,3.9208e-05,3.9208e-05
4,17.2185,1.71541,2.64282,1.1352,0.36206,0.48936,0.38126,0.18029,1.85555,1.49875,1.09488,5.8218e-05,5.8218e-05,5.8218e-05
5,21.8326,1.63215,2.21162,1.06202,0.35611,0.51064,0.37397,0.1636,1.95993,2.24934,1.1008,7.6832e-05,7.6832e-05,7.6832e-05
6,26.2013,1.56823,1.57475,1.04441,0.30819,0.55319,0.40369,0.17544,2.04887,3.36286,1.13182,9.505e-05,9.505e-05,9.505e-05
7,30.1417,1.47467,1.23921,1.01572,0.31675,0.61155,0.43043,0.18008,2.14278,4.06922,1.15437,0.000112872,0.000112872,0.000112872
8,34.1359,1.35626,0.9827,0.97416,0.36949,0.6546,0.50117,0.19841,2.11258,4.16941,1.14914,0.000130298,0.000130298,0.000130298
9,37.7749,1.38609,0.95503,0.98772,0.42371,0.69149,0.54962,0.22849,2.06283,3.68422,1.15533,0.000147328,0.000147328,0.000147328
10,41.7758,1.35446,0.87537,0.96103,0.53068,0.75532,0.63931,0.26904,1.98201,2.77486,1.17249,0.000163962,0.000163962,0.000163962
11,45.9642,1.29509,0.84877,0.96933,0.61691,0.80851,0.72809,0.30992,1.84578,2.06157,1.15313,0.0001802,0.0001802,0.0001802
12,50.5808,1.35616,0.80829,0.94511,0.68498,0.80964,0.77708,0.34837,1.78548,1.83976,1.17019,0.000196042,0.000196042,0.000196042
13,55.1403,1.2982,0.7504,0.94234,0.73738,0.8617,0.85696,0.3718,1.76428,1.99027,1.12473,0.000211488,0.000211488,0.000211488
14,59.4836,1.28881,0.76162,0.91559,0.74379,0.88298,0.85931,0.3946,1.75658,2.38584,1.12191,0.000226538,0.000226538,0.000226538
15,63.4327,1.2695,0.7065,0.93867,0.72442,0.89362,0.87771,0.43754,1.68226,2.62228,1.09578,0.000241192,0.000241192,0.000241192
16,67.4325,1.23023,0.71107,0.97278,0.71787,0.90426,0.89102,0.47127,1.62337,2.69574,1.06627,0.00025545,0.00025545,0.00025545
17,71.57,1.25041,0.701,0.964,0.77601,0.92143,0.88518,0.48286,1.60999,2.49864,1.05535,0.000269312,0.000269312,0.000269312
18,76.1564,1.29076,0.65046,0.93612,0.77601,0.92143,0.88518,0.48286,1.60999,2.49864,1.05535,0.000282778,0.000282778,0.000282778
19,80.0738,1.20629,0.64304,0.94651,0.77885,0.90426,0.87321,0.47011,1.59962,2.15163,1.04667,0.000295848,0.000295848,0.000295848
20,84.1887,1.16596,0.60548,0.91599,0.77885,0.90426,0.87321,0.47011,1.59962,2.15163,1.04667,0.000308522,0.000308522,0.000308522
21,88.2506,1.23062,0.64382,0.9457,0.80798,0.89528,0.87973,0.46697,1.54934,1.98504,1.02864,0.0003208,0.0003208,0.0003208
22,92.198,1.18062,0.61425,0.93101,0.80798,0.89528,0.87973,0.46697,1.54934,1.98504,1.02864,0.000332682,0.000332682,0.000332682
23,96.0857,1.12802,0.60612,0.93252,0.83723,0.90426,0.88404,0.47588,1.48501,1.89662,1.01606,0.000344168,0.000344168,0.000344168
24,99.9414,1.17708,0.62823,0.95701,0.83723,0.90426,0.88404,0.47588,1.48501,1.89662,1.01606,0.000355258,0.000355258,0.000355258
25,103.614,1.23639,0.60859,0.94269,0.86525,0.89362,0.89448,0.48702,1.39857,1.84699,0.99708,0.000365952,0.000365952,0.000365952
26,107.721,1.24486,0.64481,0.93818,0.86525,0.89362,0.89448,0.48702,1.39857,1.84699,0.99708,0.00037625,0.00037625,0.00037625
27,111.515,1.19238,0.61514,0.95384,0.84545,0.8617,0.88592,0.52168,1.34653,1.70892,0.99213,0.000386152,0.000386152,0.000386152
28,115.904,1.24923,0.66586,0.91341,0.84545,0.8617,0.88592,0.52168,1.34653,1.70892,0.99213,0.000395658,0.000395658,0.000395658
29,120.428,1.20381,0.64609,0.90617,0.83158,0.87234,0.86641,0.48378,1.41739,1.79735,1.00726,0.000404768,0.000404768,0.000404768
30,124.846,1.25554,0.62154,0.94061,0.83158,0.87234,0.86641,0.48378,1.41739,1.79735,1.00726,0.000413482,0.000413482,0.000413482
31,129.04,1.19151,0.60129,0.91595,0.82415,0.8617,0.86264,0.46641,1.45952,1.82429,1.01607,0.0004218,0.0004218,0.0004218
32,132.974,1.25119,0.64508,0.95922,0.82415,0.8617,0.86264,0.46641,1.45952,1.82429,1.01607,0.000429722,0.000429722,0.000429722
33,136.84,1.12605,0.59475,0.9143,0.81288,0.87234,0.86952,0.50061,1.3744,1.55079,0.9995,0.000437248,0.000437248,0.000437248
34,140.637,1.14396,0.58775,0.91398,0.81288,0.87234,0.86952,0.50061,1.3744,1.55079,0.9995,0.000444378,0.000444378,0.000444378
35,144.7,1.10205,0.55501,0.90534,0.84047,0.89675,0.88628,0.53749,1.33226,1.4329,0.98546,0.000451112,0.000451112,0.000451112
36,148.622,1.16357,0.60946,0.92664,0.84047,0.89675,0.88628,0.53749,1.33226,1.4329,0.98546,0.00045745,0.00045745,0.00045745
37,152.671,1.27177,0.6198,0.92801,0.82662,0.91297,0.89289,0.53764,1.34575,1.35065,0.99049,0.000463392,0.000463392,0.000463392
38,157.001,1.20221,0.5786,0.9018,0.82662,0.91297,0.89289,0.53764,1.34575,1.35065,0.99049,0.000468938,0.000468938,0.000468938
39,161.453,1.26276,0.59803,0.90562,0.8434,0.89362,0.89941,0.5438,1.31255,1.33381,0.99121,0.000474088,0.000474088,0.000474088
40,165.889,1.19268,0.58008,0.89347,0.8434,0.89362,0.89941,0.5438,1.31255,1.33381,0.99121,0.000478842,0.000478842,0.000478842
41,169.932,1.2269,0.58391,0.92738,0.86577,0.89204,0.88982,0.5451,1.368,1.31001,1.01231,0.0004832,0.0004832,0.0004832
42,174.187,1.11361,0.55533,0.90426,0.86577,0.89204,0.88982,0.5451,1.368,1.31001,1.01231,0.000487162,0.000487162,0.000487162
43,178.631,1.20155,0.58876,0.92211,0.83242,0.8617,0.88121,0.53802,1.41453,1.35728,1.00823,0.000490728,0.000490728,0.000490728
44,182.562,1.16075,0.57326,0.90817,0.83242,0.8617,0.88121,0.53802,1.41453,1.35728,1.00823,0.000493898,0.000493898,0.000493898
45,186.44,1.1784,0.5982,0.92596,0.83034,0.88298,0.88928,0.51513,1.47043,1.32632,1.01299,0.000496672,0.000496672,0.000496672
46,190.787,1.09224,0.57771,0.90947,0.83034,0.88298,0.88928,0.51513,1.47043,1.32632,1.01299,0.00049905,0.00049905,0.00049905
47,194.971,1.27285,0.65635,0.98947,0.83181,0.89443,0.89109,0.53256,1.40385,1.15908,0.99575,0.000501032,0.000501032,0.000501032
48,199.311,1.1209,0.56702,0.89553,0.83181,0.89443,0.89109,0.53256,1.40385,1.15908,0.99575,0.000502618,0.000502618,0.000502618
49,203.121,1.11753,0.57217,0.89934,0.84325,0.90426,0.88704,0.55272,1.29929,1.04841,0.97697,0.000503808,0.000503808,0.000503808
50,207.041,1.07093,0.55494,0.90892,0.84325,0.90426,0.88704,0.55272,1.29929,1.04841,0.97697,0.000504602,0.000504602,0.000504602
51,210.865,1.11347,0.56619,0.91891,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000505,0.000505,0.000505
52,214.996,1.12598,0.56828,0.90584,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000505002,0.000505002,0.000505002
53,219.267,1.149,0.56348,0.91963,0.83006,0.92553,0.90592,0.55615,1.34606,1.05841,0.9901,0.000504608,0.000504608,0.000504608
54,223.351,1.1708,0.58856,0.89997,0.83948,0.94581,0.91324,0.55427,1.3829,1.05416,1.00004,0.000503818,0.000503818,0.000503818
55,227.052,1.05839,0.52613,0.90993,0.83948,0.94581,0.91324,0.55427,1.3829,1.05416,1.00004,0.000502632,0.000502632,0.000502632
